epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0995,1.32759,3.18548,1.48854,0.47277,0.30628,0.31981,0.14041,1.64114,2.74648,1.79948,0.000368527,0.000368527,0.000368527
2,78.0861,1.26735,2.44174,1.4185,0.5755,0.34739,0.37976,0.19737,1.74448,2.7225,1.94432,0.000724231,0.000724231,0.000724231
3,114.217,1.32703,2.30606,1.45598,0.58429,0.46992,0.51373,0.2957,1.70067,2.29622,1.84426,0.00106527,0.00106527,0.00106527
4,149.704,1.30749,2.18726,1.4718,0.42205,0.43982,0.39324,0.21146,1.80202,2.47128,2.02254,0.00104501,0.00104501,0.00104501
5,185.595,1.26844,1.93895,1.44779,0.48465,0.54971,0.51892,0.26111,1.60992,1.94571,1.68532,0.00102301,0.00102301,0.00102301
6,221.426,1.22035,1.80221,1.398,0.51235,0.54121,0.51833,0.2932,1.57504,1.9345,1.71658,0.00100101,0.00100101,0.00100101
7,257.575,1.18194,1.71131,1.37451,0.60316,0.56192,0.5731,0.33879,1.5673,1.88036,1.69187,0.000979013,0.000979013,0.000979013
8,292.768,1.1572,1.62395,1.3583,0.68177,0.56494,0.62614,0.34524,1.54285,1.80132,1.66891,0.000957015,0.000957015,0.000957015
9,328.794,1.15651,1.60331,1.35217,0.75034,0.55946,0.62252,0.3931,1.443,1.68458,1.56836,0.000935018,0.000935018,0.000935018
10,365.012,1.12671,1.54216,1.33404,0.72939,0.6077,0.64755,0.3934,1.46829,1.57882,1.60661,0.00091302,0.00091302,0.00091302
11,400.912,1.08177,1.46512,1.29728,0.68029,0.64788,0.61677,0.37351,1.52072,1.65992,1.64728,0.000891022,0.000891022,0.000891022
12,437.233,1.10043,1.45195,1.29387,0.78292,0.64137,0.69533,0.41827,1.45204,1.48161,1.55112,0.000869024,0.000869024,0.000869024
13,472.454,1.02541,1.35336,1.25018,0.67454,0.58923,0.62459,0.38813,1.45222,1.56802,1.58453,0.000847026,0.000847026,0.000847026
14,508.537,1.03854,1.3719,1.26564,0.80412,0.66885,0.72736,0.42121,1.49352,1.46924,1.58163,0.000825029,0.000825029,0.000825029
15,544.829,1.00655,1.31489,1.23776,0.82025,0.65498,0.72254,0.45604,1.37738,1.43446,1.49145,0.000803031,0.000803031,0.000803031
16,580.843,1.00401,1.29552,1.24853,0.80291,0.64922,0.70741,0.44392,1.44833,1.38171,1.55404,0.000781033,0.000781033,0.000781033
17,616.174,0.97543,1.25511,1.223,0.74084,0.67009,0.71938,0.45582,1.37585,1.30484,1.48742,0.000759035,0.000759035,0.000759035
18,651.691,0.97665,1.21156,1.21439,0.77762,0.67535,0.73673,0.4584,1.40492,1.28898,1.46647,0.000737037,0.000737037,0.000737037
19,687.512,0.95678,1.21075,1.20547,0.76039,0.73051,0.75518,0.47025,1.37214,1.33854,1.48912,0.00071504,0.00071504,0.00071504
20,723.568,0.94539,1.18835,1.19885,0.79871,0.69309,0.74223,0.44828,1.39217,1.32383,1.47891,0.000693042,0.000693042,0.000693042
21,759.714,0.92289,1.15985,1.188,0.84849,0.67783,0.75232,0.49856,1.2716,1.25681,1.41923,0.000671044,0.000671044,0.000671044
22,794.797,0.92236,1.13923,1.17749,0.79723,0.71279,0.77298,0.50783,1.32857,1.22232,1.44005,0.000649046,0.000649046,0.000649046
23,830.809,0.91448,1.11579,1.17244,0.84544,0.72657,0.77809,0.49143,1.32808,1.17873,1.43572,0.000627048,0.000627048,0.000627048
24,866.832,0.90332,1.11104,1.16806,0.82778,0.76479,0.77318,0.49584,1.33893,1.21079,1.437,0.000605051,0.000605051,0.000605051
25,902.806,0.89324,1.09237,1.16703,0.86082,0.69848,0.76033,0.50149,1.27794,1.22588,1.42623,0.000583053,0.000583053,0.000583053
26,939.01,0.87978,1.08372,1.15438,0.73085,0.77412,0.74185,0.49781,1.29485,1.20586,1.41192,0.000561055,0.000561055,0.000561055
27,974.467,0.86985,1.03743,1.14498,0.84448,0.72147,0.77767,0.50191,1.33922,1.20469,1.45821,0.000539057,0.000539057,0.000539057
28,1010.88,0.85,1.01267,1.14004,0.85216,0.72341,0.78525,0.51101,1.27498,1.15287,1.41684,0.000517059,0.000517059,0.000517059
29,1047.54,0.84673,0.98772,1.12403,0.81764,0.76133,0.8056,0.53267,1.2841,1.1211,1.38387,0.000495062,0.000495062,0.000495062
30,1083.79,0.8398,0.96983,1.11708,0.82443,0.77321,0.80314,0.5396,1.23351,1.0555,1.38627,0.000473064,0.000473064,0.000473064
31,1120.34,0.84999,0.97764,1.12246,0.84289,0.74919,0.80026,0.52575,1.28122,1.12497,1.41485,0.000451066,0.000451066,0.000451066
32,1155.7,0.82024,0.95045,1.10788,0.83217,0.74317,0.77436,0.52266,1.30099,1.15842,1.43503,0.000429068,0.000429068,0.000429068
33,1191.91,0.83318,0.98441,1.12601,0.85857,0.76145,0.80794,0.52627,1.29137,1.11615,1.43918,0.00040707,0.00040707,0.00040707
34,1228.04,0.81124,0.91191,1.10141,0.83402,0.76117,0.7973,0.52741,1.29457,1.0786,1.42638,0.000385073,0.000385073,0.000385073
35,1264.16,0.79721,0.91539,1.09919,0.84734,0.74445,0.80427,0.52709,1.28877,1.0835,1.41801,0.000363075,0.000363075,0.000363075
36,1300.49,0.78087,0.93365,1.09501,0.83684,0.75772,0.80856,0.51885,1.27912,1.01243,1.38425,0.000341077,0.000341077,0.000341077
37,1335.41,0.78827,0.89411,1.09779,0.85937,0.75246,0.81446,0.53909,1.31799,1.05466,1.4174,0.000319079,0.000319079,0.000319079
38,1371.66,0.78291,0.8682,1.08148,0.87658,0.77303,0.8199,0.54565,1.25993,1.00723,1.40121,0.000297081,0.000297081,0.000297081
39,1408.45,0.75372,0.87663,1.07702,0.84895,0.769,0.81885,0.55126,1.30106,1.00036,1.41573,0.000275084,0.000275084,0.000275084
40,1444.58,0.75655,0.83993,1.07305,0.85563,0.74631,0.80939,0.55027,1.24826,0.97037,1.38222,0.000253086,0.000253086,0.000253086
41,1480.64,0.77271,0.75033,1.0729,0.8395,0.7667,0.79707,0.5396,1.28301,1.00924,1.43995,0.000231088,0.000231088,0.000231088
42,1515.83,0.75712,0.70572,1.06155,0.87414,0.73498,0.80049,0.53059,1.29827,1.0063,1.44152,0.00020909,0.00020909,0.00020909
43,1551.15,0.75197,0.69052,1.06355,0.8337,0.80735,0.81192,0.54389,1.26673,1.0043,1.42027,0.000187092,0.000187092,0.000187092
44,1585.92,0.73353,0.66758,1.04603,0.81223,0.78841,0.80879,0.54498,1.2725,1.0247,1.40242,0.000165095,0.000165095,0.000165095
45,1620.52,0.73408,0.65217,1.04375,0.83616,0.77368,0.79662,0.5367,1.30589,1.03235,1.43039,0.000143097,0.000143097,0.000143097
46,1656.08,0.72161,0.63522,1.03035,0.8428,0.77721,0.80066,0.54165,1.27614,1.01595,1.40934,0.000121099,0.000121099,0.000121099
47,1691.75,0.70707,0.62388,1.02988,0.87517,0.78074,0.80217,0.54337,1.28495,1.02031,1.42348,9.91012e-05,9.91012e-05,9.91012e-05
48,1725.94,0.69597,0.62023,1.01847,0.87371,0.77099,0.809,0.54597,1.28838,1.04379,1.44414,7.71034e-05,7.71034e-05,7.71034e-05
49,1761.43,0.68067,0.60096,1.00204,0.87831,0.76285,0.80489,0.54135,1.28494,1.03978,1.44163,5.51056e-05,5.51056e-05,5.51056e-05
50,1797.18,0.68418,0.6019,1.01728,0.87933,0.76398,0.80038,0.54178,1.27979,1.03685,1.43847,3.31078e-05,3.31078e-05,3.31078e-05
