epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1326,1.32763,2.71228,1.46522,0.48971,0.46972,0.49956,0.25552,1.72955,3.03888,1.76585,0.000367929,0.000367929,0.000367929
2,143.106,1.32651,1.88492,1.44838,0.41611,0.40023,0.33984,0.14891,1.92802,2.31363,1.886,0.000713899,0.000713899,0.000713899
3,271.585,1.39897,1.84933,1.48898,0.55275,0.46734,0.4453,0.20699,1.89452,1.99553,1.89099,0.00103543,0.00103543,0.00103543
4,376.701,1.37258,1.81185,1.48183,0.5778,0.43729,0.52499,0.27964,1.84699,2.08206,1.92623,0.00100101,0.00100101,0.00100101
5,485.35,1.32387,1.67366,1.44142,0.54528,0.48661,0.51616,0.25188,1.77238,1.88025,1.83952,0.000964348,0.000964348,0.000964348
6,540.327,1.27422,1.59124,1.42439,0.56159,0.58442,0.57568,0.29377,1.71802,1.65613,1.73849,0.000927685,0.000927685,0.000927685
7,595.466,1.25002,1.49935,1.3893,0.72975,0.63446,0.69591,0.38509,1.6102,1.6245,1.6655,0.000891022,0.000891022,0.000891022
8,651.609,1.16471,1.40478,1.33212,0.82329,0.63333,0.71168,0.40997,1.58546,1.44245,1.62987,0.000854359,0.000854359,0.000854359
9,708.485,1.13423,1.34293,1.3145,0.74614,0.68567,0.69914,0.36568,1.65699,1.46222,1.61678,0.000817696,0.000817696,0.000817696
10,765.199,1.11731,1.32923,1.30555,0.74852,0.73795,0.752,0.42815,1.52019,1.36793,1.59596,0.000781033,0.000781033,0.000781033
11,819.456,1.09742,1.26973,1.28379,0.80676,0.72286,0.77399,0.44902,1.51245,1.2264,1.52131,0.00074437,0.00074437,0.00074437
12,879.304,1.03427,1.19546,1.24279,0.7726,0.72228,0.74913,0.45128,1.49718,1.31493,1.54965,0.000707707,0.000707707,0.000707707
13,936.087,1.02343,1.15034,1.23309,0.73449,0.73121,0.78017,0.47908,1.51117,1.15808,1.49916,0.000671044,0.000671044,0.000671044
14,983.591,1.03271,1.15338,1.24702,0.79824,0.7417,0.80892,0.47541,1.4709,1.19274,1.51866,0.000634381,0.000634381,0.000634381
15,1031.39,1.00495,1.09068,1.21479,0.78797,0.77304,0.80609,0.50069,1.41686,1.11437,1.44626,0.000597718,0.000597718,0.000597718
16,1085.99,0.98965,1.07031,1.20017,0.80659,0.80381,0.82139,0.50544,1.40625,1.04812,1.42385,0.000561055,0.000561055,0.000561055
17,1253.61,0.96459,1.02921,1.18653,0.81391,0.75541,0.79973,0.47433,1.42064,1.08096,1.45371,0.000524392,0.000524392,0.000524392
18,1429.4,0.92553,1.00111,1.17474,0.85784,0.77607,0.83495,0.52477,1.36586,1.03307,1.39166,0.000487729,0.000487729,0.000487729
19,1625.34,0.9217,0.96992,1.15588,0.83326,0.76503,0.82443,0.52062,1.39092,1.02527,1.43738,0.000451066,0.000451066,0.000451066
20,1877.64,0.92132,0.98154,1.15806,0.86667,0.7889,0.84175,0.52786,1.38669,0.99559,1.40464,0.000414403,0.000414403,0.000414403
21,1966.21,0.96642,0.85508,1.18947,0.84439,0.78259,0.83396,0.52211,1.4112,0.99384,1.43824,0.00037774,0.00037774,0.00037774
22,2030.1,0.92496,0.81561,1.16837,0.82538,0.84259,0.84048,0.53001,1.37486,0.99355,1.42866,0.000341077,0.000341077,0.000341077
23,2092.19,0.92222,0.7666,1.15255,0.87224,0.81718,0.84219,0.53924,1.36235,0.95043,1.405,0.000304414,0.000304414,0.000304414
24,2154.78,0.88555,0.72776,1.12619,0.86188,0.83278,0.86374,0.54091,1.3928,0.94692,1.4306,0.000267751,0.000267751,0.000267751
25,2218.68,0.8573,0.70237,1.10484,0.83228,0.83771,0.86492,0.56735,1.37155,0.92351,1.42905,0.000231088,0.000231088,0.000231088
26,2278.03,0.8285,0.66562,1.08107,0.84265,0.84539,0.85519,0.55951,1.3784,0.92075,1.4464,0.000194425,0.000194425,0.000194425
27,2351.28,0.80561,0.64812,1.0657,0.84158,0.86556,0.85448,0.57374,1.3251,0.8763,1.39893,0.000157762,0.000157762,0.000157762
28,2414.25,0.78739,0.61785,1.054,0.86202,0.84794,0.8529,0.56767,1.34179,0.88413,1.40626,0.000121099,0.000121099,0.000121099
29,2471.77,0.77237,0.59756,1.04574,0.86061,0.85723,0.85431,0.57074,1.34433,0.90343,1.4232,8.4436e-05,8.4436e-05,8.4436e-05
30,2525.72,0.75961,0.58361,1.04953,0.84796,0.86843,0.85084,0.56724,1.34607,0.89282,1.43336,4.7773e-05,4.7773e-05,4.7773e-05
